Year,Homicides,Crimetype,State,Month
2010,0,DOLOSOS,Zacatecas,Dec
2010,0,DOLOSOS,Zacatecas,Nov
2010,ND,DOLOSOS,Zacatecas,Oct
2010,ND,DOLOSOS,Zacatecas,Sep
2010,6,DOLOSOS,Zacatecas,Aug
2010,10,DOLOSOS,Zacatecas,Jul
2010,8,DOLOSOS,Zacatecas,Jun
2010,6,DOLOSOS,Zacatecas,May
2010,12,DOLOSOS,Zacatecas,Apr
2010,6,DOLOSOS,Zacatecas,Mar
2010,2,DOLOSOS,Zacatecas,Feb
2010,12,DOLOSOS,Zacatecas,Jan
2010,26,DOLOSOS,Yucatan,Tot
2010,0,DOLOSOS,Yucatan,Dec
2010,0,DOLOSOS,Yucatan,Nov
2010,ND,DOLOSOS,Yucatan,Oct
2010,1,DOLOSOS,Yucatan,Sep
2010,62,DOLOSOS,Zacatecas,Tot
2010,4,DOLOSOS,Yucatan,Aug
2010,4,DOLOSOS,Yucatan,Jul
2010,4,DOLOSOS,Yucatan,Jun
2010,3,DOLOSOS,Yucatan,May
2010,3,DOLOSOS,Yucatan,Mar
2010,3,DOLOSOS,Yucatan,Feb
2010,1,DOLOSOS,Yucatan,Jan
2010,260,DOLOSOS,Veracruz,Tot
2010,0,DOLOSOS,Veracruz,Dec
2010,0,DOLOSOS,Veracruz,Nov
2010,ND,DOLOSOS,Veracruz,Oct
2010,ND,DOLOSOS,Veracruz,Sep
2010,33,DOLOSOS,Veracruz,Aug
2010,45,DOLOSOS,Veracruz,Jul
2010,29,DOLOSOS,Veracruz,Jun
2010,30,DOLOSOS,Veracruz,May
2010,18,DOLOSOS,Veracruz,Apr
2010,47,DOLOSOS,Veracruz,Mar
2010,26,DOLOSOS,Veracruz,Feb
2010,32,DOLOSOS,Veracruz,Jan
2010,38,DOLOSOS,Tlaxcala,Tot
2010,0,DOLOSOS,Tlaxcala,Dec
2010,0,DOLOSOS,Tlaxcala,Nov
2010,6,DOLOSOS,Tlaxcala,Oct
2010,7,DOLOSOS,Tlaxcala,Sep
2010,6,DOLOSOS,Tlaxcala,Aug
2010,5,DOLOSOS,Tlaxcala,Jul
2010,1,DOLOSOS,Tlaxcala,Jun
2010,5,DOLOSOS,Tlaxcala,May
2010,2,DOLOSOS,Tlaxcala,Apr
2010,2,DOLOSOS,Tlaxcala,Mar
2010,2,DOLOSOS,Tlaxcala,Feb
2010,2,DOLOSOS,Tlaxcala,Jan
2010,598,DOLOSOS,Tamaulipas,Tot
2010,0,DOLOSOS,Tamaulipas,Dec
2010,0,DOLOSOS,Tamaulipas,Nov
2010,64,DOLOSOS,Tamaulipas,Oct
2010,52,DOLOSOS,Tamaulipas,Sep
2010,65,DOLOSOS,Tamaulipas,Aug
2010,61,DOLOSOS,Tamaulipas,Jul
2010,90,DOLOSOS,Tamaulipas,Jun
2010,67,DOLOSOS,Tamaulipas,May
2010,73,DOLOSOS,Tamaulipas,Apr
2010,54,DOLOSOS,Tamaulipas,Mar
2010,44,DOLOSOS,Tamaulipas,Feb
2010,28,DOLOSOS,Tamaulipas,Jan
2010,116,DOLOSOS,Tabasco,Tot
2010,0,DOLOSOS,Tabasco,Dec
2010,0,DOLOSOS,Tabasco,Nov
2010,9,DOLOSOS,Tabasco,Oct
2010,16,DOLOSOS,Tabasco,Sep
2010,18,DOLOSOS,Tabasco,Aug
2010,10,DOLOSOS,Tabasco,Jul
2010,11,DOLOSOS,Tabasco,Jun
2010,7,DOLOSOS,Tabasco,May
2010,12,DOLOSOS,Tabasco,Apr
2010,12,DOLOSOS,Tabasco,Mar
2010,9,DOLOSOS,Tabasco,Feb
2010,12,DOLOSOS,Tabasco,Jan
2010,569,DOLOSOS,Sonora,Tot
2010,0,DOLOSOS,Sonora,Dec
2010,0,DOLOSOS,Sonora,Nov
2010,49,DOLOSOS,Sonora,Oct
2010,60,DOLOSOS,Sonora,Sep
2010,58,DOLOSOS,Sonora,Aug
2010,79,DOLOSOS,Sonora,Jul
2010,39,DOLOSOS,Sonora,Jun
2010,66,DOLOSOS,Sonora,May
2010,46,DOLOSOS,Sonora,Apr
2010,52,DOLOSOS,Sonora,Mar
2010,54,DOLOSOS,Sonora,Feb
2010,66,DOLOSOS,Sonora,Jan
2010,1975,DOLOSOS,Sinaloa,Tot
2010,0,DOLOSOS,Sinaloa,Dec
2010,0,DOLOSOS,Sinaloa,Nov
2010,181,DOLOSOS,Sinaloa,Oct
2010,143,DOLOSOS,Sinaloa,Sep
2010,228,DOLOSOS,Sinaloa,Aug
2010,220,DOLOSOS,Sinaloa,Jul
2010,226,DOLOSOS,Sinaloa,Jun
2010,147,DOLOSOS,Sinaloa,May
2010,207,DOLOSOS,Sinaloa,Apr
2010,192,DOLOSOS,Sinaloa,Mar
2010,208,DOLOSOS,Sinaloa,Feb
2010,223,DOLOSOS,Sinaloa,Jan
2010,108,DOLOSOS,"San Luis Potosi",Tot
2010,0,DOLOSOS,"San Luis Potosi",Dec
2010,0,DOLOSOS,"San Luis Potosi",Nov
2010,ND,DOLOSOS,"San Luis Potosi",Oct
2010,ND,DOLOSOS,"San Luis Potosi",Sep
2010,9,DOLOSOS,"San Luis Potosi",Aug
