label,date,State,y
"C. Beltran Leyva Captured",2008/01/21,Sinaloa,40
"C. Beltran Leyva Captured",2008/01/21,Guerrero,45
"C. Beltran Leyva Captured",2008/01/21,Durango,30
"C. Beltran Leyva Captured",2008/01/21,Sonora,23
"C. Beltran Leyva Captured",2008/01/21,Nayarit,25
"C. Beltran Leyva Captured",2008/01/21,Morelos,25
"C. Beltran Leyva Captured",2008/01/21,Jalisco,15
"A. Beltran Leyva
Killed",2009/12/16,Morelos,50
"A. Beltran Leyva Killed",2009/12/16,Guanajuato,20
"A. Beltran Leyva
Killed",2009/12/16,Nayarit,40
"A. Beltran Leyva Killed",2009/12/16,Jalisco,33
"A. Beltran Leyva
Killed",2009/12/16,Sonora,60
"A. Beltran Leyva
Killed",2009/12/16,Sinaloa,90
"A. Beltran Leyva
Killed",2009/12/16,Quintana Roo,40
"A. Beltran Leyva
Killed",2009/12/16,Durango,110
"A. Beltran Leyva
Killed",2009/12/16,Guerrero,1
"Zetas and CDG Breakup",2010/02/22,Tamaulipas,25
"Zetas and CDG Breakup",2010/02/22,"Nuevo Leon",25
"Zetas and CDG Breakup",2010/02/22,Coahuila,25
"Nacho Coronel Killed",2010/07/29,Jalisco,50
"Nacho Coronel Killed",2010/07/29,Nayarit,1
"Nacho Coronel Killed",2010/07/29,Colima,45
"E. Arellano Felix Captured",2008/10/26,"Baja California",60
"""El Teo"" Captured",2010/01/12,"Baja California",50
"J.O. Tijuana",2007/01/03,"Baja California",40
"J.O. Culiacan-Navolato",2008/05/13,Sinaloa,50
"J.O. Sierra Madre III",2008/02/01,Durango,40
"J.O. 
Nuevo Leon
-Tamaulipas",2007/02/19,"Nuevo Leon",13
"J.O. Michoacan",2006/12/11,Michoacan,5
"J.O. Monarca",2009/04/15,Michoacan,5
"J.O. Chihuahua",2008/03/27,Chihuahua,70
"Reinforcements
Sent",2009/03/01,Chihuahua,110
"Presidential
Visits",2010/02/11,Chihuahua,125
"Operation Sonora I",2008/03/07,Sonora,40
"Operation Quintana Roo",2009/02/09,Quintana Roo,1
